Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Type,Mana Cost,Colors,Color Identity,Oracle Text,Commander Legal,Pauper Legal,CMC,Image URL
Mabel's Mettle,blb,Bloomburrow,21,normal,uncommon,1,,5cfcf83f-089c-4e35-855e-b61b98bb1cd8,0.0,False,False,near_mint,en,USD,Instant,{1}{W},W,W,Target creature gets +2/+2 until end of turn. Up to one other target creature gets +1/+1 until end of turn.,legal,not_legal,2.0,https://cards.scryfall.io/normal/front/5/c/5cfcf83f-089c-4e35-855e-b61b98bb1cd8.jpg?1721425880
Macabre Waltz,fdn,Foundations,177,normal,common,1,,4d1f3c84-89ba-4426-a80b-d524f172c912,0.0,False,False,near_mint,en,USD,Sorcery,{1}{B},B,B,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",legal,legal,2.0,https://cards.scryfall.io/normal/front/4/d/4d1f3c84-89ba-4426-a80b-d524f172c912.jpg?1730489256
Maestros Initiate,snc,Streets of New Capenna,86,normal,common,1,,db94f2a9-53be-449e-8240-77f013cdd7e3,0.0,False,False,near_mint,en,USD,Creature — Human Citizen,{2}{B},B,"B, R, U","{4}{U/R}, Exile this card from your graveyard: Draw two cards, then discard a card.",legal,legal,3.0,https://cards.scryfall.io/normal/front/d/b/db94f2a9-53be-449e-8240-77f013cdd7e3.jpg?1664411091
Magebane Lizard,otj,Outlaws of Thunder Junction,134,normal,uncommon,1,,62e12566-375f-4f31-aa91-1b13a96d9ece,0.0,False,False,near_mint,en,USD,Creature — Lizard,{1}{R},R,R,"Whenever a player casts a noncreature spell, this creature deals damage to that player equal to the number of noncreature spells they've cast this turn.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/6/2/62e12566-375f-4f31-aa91-1b13a96d9ece.jpg?1712355797
Mage Duel,stx,Strixhaven: School of Mages,137,normal,common,1,,92325638-0321-4409-8910-2287c64c182e,0.0,False,False,near_mint,en,USD,Sorcery,{2}{G},G,G,"This spell costs {2} less to cast if you've cast another instant or sorcery spell this turn.
Target creature you control gets +1/+2 until end of turn. Then it fights target creature you don't control. (Each deals damage equal to its power to the other.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/9/2/92325638-0321-4409-8910-2287c64c182e.jpg?1624592958
"Mahadi, Emporium Master",clb,Commander Legends: Battle for Baldur's Gate,282,normal,uncommon,1,,c3da2b1a-76c5-4d36-bdf8-025b86f61eb5,0.0,False,False,near_mint,en,USD,Legendary Creature — Devil,{1}{B}{R},"B, R","B, R","At the beginning of your end step, create a Treasure token for each creature that died this turn. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/c/3/c3da2b1a-76c5-4d36-bdf8-025b86f61eb5.jpg?1699601213
Make Your Move,fdn,Foundations,143,normal,common,2,,7368f861-3288-4645-90a7-ca35d6da3721,0.0,False,False,near_mint,en,USD,Instant,{2}{W},W,W,"Destroy target artifact, enchantment, or creature with power 4 or greater.",legal,legal,3.0,https://cards.scryfall.io/normal/front/7/3/7368f861-3288-4645-90a7-ca35d6da3721.jpg?1730489137
Malamet Battle Glyph,lci,The Lost Caverns of Ixalan,198,normal,uncommon,1,,2259f959-ca97-4df9-8d50-0532090fb967,0.0,False,False,near_mint,en,USD,Sorcery,{G},G,G,"Choose target creature you control and target creature you don't control. If the creature you control entered this turn, put a +1/+1 counter on it. Then those creatures fight each other.",legal,not_legal,1.0,https://cards.scryfall.io/normal/front/2/2/2259f959-ca97-4df9-8d50-0532090fb967.jpg?1699044443
Malamet Scythe,lci,The Lost Caverns of Ixalan,200,normal,common,1,,df6776a4-cc01-46a3-90df-04e1e3ba513c,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{2}{G},G,G,"Flash
When this Equipment enters, attach it to target creature you control.
Equipped creature gets +2/+2.
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/d/f/df6776a4-cc01-46a3-90df-04e1e3ba513c.jpg?1699044451
Malamet Veteran,lci,The Lost Caverns of Ixalan,201,normal,common,1,,4b9b16b3-1cbd-4b63-85b2-e4053dfc1e93,0.0,False,False,near_mint,en,USD,Creature — Cat Warrior,{4}{G},G,G,"Trample
Descend 4 — Whenever this creature attacks, if there are four or more permanent cards in your graveyard, put a +1/+1 counter on target creature.",legal,legal,5.0,https://cards.scryfall.io/normal/front/4/b/4b9b16b3-1cbd-4b63-85b2-e4053dfc1e93.jpg?1699044452
Malamet War Scribe,lci,The Lost Caverns of Ixalan,21,normal,uncommon,1,,b92a6ba0-cea0-4084-92f1-2bd60ea25fb0,0.0,False,False,near_mint,en,USD,Creature — Cat Warrior,{3}{W}{W},W,W,"When this creature enters, creatures you control get +2/+1 until end of turn.",legal,not_legal,5.0,https://cards.scryfall.io/normal/front/b/9/b92a6ba0-cea0-4084-92f1-2bd60ea25fb0.jpg?1699043248
Malevolent Chandelier,dsk,Duskmourn: House of Horror,252,normal,common,1,,ef09d296-4493-47f7-ad76-ad76c747df78,0.0,False,False,near_mint,en,USD,Artifact Creature — Construct,{6},,,"Flying
{2}: Put target card from a graveyard on the bottom of its owner's library. Activate only as a sorcery.",legal,legal,6.0,https://cards.scryfall.io/normal/front/e/f/ef09d296-4493-47f7-ad76-ad76c747df78.jpg?1726286812
Malevolent Chandelier,dsk,Duskmourn: House of Horror,252,normal,common,2,,ef09d296-4493-47f7-ad76-ad76c747df78,0.0,False,False,near_mint,en,USD,Artifact Creature — Construct,{6},,,"Flying
{2}: Put target card from a graveyard on the bottom of its owner's library. Activate only as a sorcery.",legal,legal,6.0,https://cards.scryfall.io/normal/front/e/f/ef09d296-4493-47f7-ad76-ad76c747df78.jpg?1726286812
Malicious Eclipse,lci,The Lost Caverns of Ixalan,111,normal,uncommon,1,,2796fffa-8cbf-4ec9-91a8-7b6f39fd50ec,0.0,False,False,near_mint,en,USD,Sorcery,{1}{B}{B},B,B,"All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/2/7/2796fffa-8cbf-4ec9-91a8-7b6f39fd50ec.jpg?1699044152
Mandibular Kite,mh3,Modern Horizons 3,34,normal,common,8,,6b922f71-18e6-4a74-b792-d477d4a1deca,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{W},W,W,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1 and has flying.
Equip {3}{W}",legal,legal,1.0,https://cards.scryfall.io/normal/front/6/b/6b922f71-18e6-4a74-b792-d477d4a1deca.jpg?1717011474
Mandibular Kite,mh3,Modern Horizons 3,34,normal,common,1,,6b922f71-18e6-4a74-b792-d477d4a1deca,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{W},W,W,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1 and has flying.
Equip {3}{W}",legal,legal,1.0,https://cards.scryfall.io/normal/front/6/b/6b922f71-18e6-4a74-b792-d477d4a1deca.jpg?1717011474
Manifest Dread,dsk,Duskmourn: House of Horror,189,normal,common,1,,a649265b-6c32-49e7-b6cb-6086c40d26e8,0.0,False,False,near_mint,en,USD,Sorcery,{1}{G},G,G,Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.),legal,legal,2.0,https://cards.scryfall.io/normal/front/a/6/a649265b-6c32-49e7-b6cb-6086c40d26e8.jpg?1726286570
Manifold Key,clb,Commander Legends: Battle for Baldur's Gate,319,normal,uncommon,2,,0f5a15cd-a359-48c9-9280-ce139f1fb061,0.0,False,False,near_mint,en,USD,Artifact,{1},,,"{1}, {T}: Untap another target artifact.
{3}, {T}: Target creature can't be blocked this turn.",legal,not_legal,1.0,https://cards.scryfall.io/normal/front/0/f/0f5a15cd-a359-48c9-9280-ce139f1fb061.jpg?1674137889
Many Partings,ltr,The Lord of the Rings: Tales of Middle-earth,176,normal,common,2,,d179dbbe-9c79-4dbc-955a-5209a3e2745a,0.0,False,False,near_mint,en,USD,Sorcery,{G},G,G,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",legal,legal,1.0,https://cards.scryfall.io/normal/front/d/1/d179dbbe-9c79-4dbc-955a-5209a3e2745a.jpg?1686969470
Map the Frontier,otj,Outlaws of Thunder Junction,170,normal,uncommon,1,,165f4428-e1a1-477d-bd90-138189e88163,0.0,False,False,near_mint,en,USD,Sorcery,{3}{G},G,G,"Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/1/6/165f4428-e1a1-477d-bd90-138189e88163.jpg?1712355950
Map to Lorthos's Temple,mb2,Mystery Booster 2,531,normal,rare,1,,ec6d971b-b981-4a7e-8308-f1c6cc679d89,0.0,False,False,near_mint,en,USD,Enchantment — Quest,{U},U,U,"Whenever you complete one of the following objectives, check it off. If all three are checked off, sacrifice Map to Lorthos's Temple. If you do, create a Lorthos, the Tidemaker token.
☐ Diving Gear — An artifact enters the battlefield under your control.
☐ Merfolk — A Merfolk enters the battlefield under your control.
☐ Ritual — You cast an instant or sorcery spell.",not_legal,not_legal,1.0,https://cards.scryfall.io/normal/front/e/c/ec6d971b-b981-4a7e-8308-f1c6cc679d89.jpg?1723375111
Marauding Brinefang,lci,The Lost Caverns of Ixalan,64,normal,common,1,,78328899-7996-4cfd-bf00-d2a0d0ff3ef8,0.0,False,False,near_mint,en,USD,Creature — Dinosaur,{5}{U}{U},U,U,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",legal,legal,7.0,https://cards.scryfall.io/normal/front/7/8/78328899-7996-4cfd-bf00-d2a0d0ff3ef8.jpg?1699049880
Marauding Sphinx,otj,Outlaws of Thunder Junction,56,normal,uncommon,1,,34071884-c5b6-42c0-9eb3-9f32910c29d8,0.0,False,False,near_mint,en,USD,Creature — Sphinx Rogue,{3}{U}{U},U,U,"Flying, vigilance, ward {2}
Whenever you commit a crime, surveil 2. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",legal,not_legal,5.0,https://cards.scryfall.io/normal/front/3/4/34071884-c5b6-42c0-9eb3-9f32910c29d8.jpg?1712355453
Marble Diamond,clb,Commander Legends: Battle for Baldur's Gate,446,normal,common,1,,e5c6efa9-f198-4d8c-8a30-36a620679477,0.0,False,False,near_mint,en,USD,Artifact,{2},,W,"This artifact enters tapped.
{T}: Add {W}.",legal,legal,2.0,https://cards.scryfall.io/normal/front/e/5/e5c6efa9-f198-4d8c-8a30-36a620679477.jpg?1674138948
Marble Diamond,clb,Commander Legends: Battle for Baldur's Gate,320,normal,common,2,,0930f71c-c3c8-4bdd-8468-6a61349cc8ca,0.0,False,False,near_mint,en,USD,Artifact,{2},,W,"This artifact enters tapped.
{T}: Add {W}.",legal,legal,2.0,https://cards.scryfall.io/normal/front/0/9/0930f71c-c3c8-4bdd-8468-6a61349cc8ca.jpg?1674137897
Massive Might,vow,Innistrad: Crimson Vow,208,normal,common,1,,3a5cd50b-4825-4d85-b0f9-e2a51d2a7df1,0.0,False,False,near_mint,en,USD,Instant,{G},G,G,Target creature gets +2/+2 and gains trample until end of turn.,legal,legal,1.0,https://cards.scryfall.io/normal/front/3/a/3a5cd50b-4825-4d85-b0f9-e2a51d2a7df1.jpg?1643593031
Marionette Apprentice,mh3,Modern Horizons 3,410,normal,uncommon,1,,22b5a3dd-0b5a-434e-afee-a83b0279fd15,0.0,False,False,near_mint,en,USD,Creature — Human Artificer,{1}{B},B,B,"Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)
Whenever another creature or artifact you control is put into a graveyard from the battlefield, each opponent loses 1 life.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/2/2/22b5a3dd-0b5a-434e-afee-a83b0279fd15.jpg?1717014837
Master Chef,clb,Commander Legends: Battle for Baldur's Gate,241,normal,common,2,,b534b1cb-0cd7-4b8c-bb25-42207fcba209,0.0,False,False,near_mint,en,USD,Legendary Enchantment — Background,{2}{G},G,G,"Commander creatures you own have ""This creature enters with an additional +1/+1 counter on it"" and ""Other creatures you control enter with an additional +1/+1 counter on them.""",legal,legal,3.0,https://cards.scryfall.io/normal/front/b/5/b534b1cb-0cd7-4b8c-bb25-42207fcba209.jpg?1674137194
Master's Guide-Mural // Master's Manufactory,lci,The Lost Caverns of Ixalan,233,normal,uncommon,1,,f7a41343-7cdb-49aa-a9d1-7460195355d8,0.0,False,False,near_mint,en,USD,Artifact // Artifact,,,"U, W",,legal,not_legal,5.0,https://cards.scryfall.io/normal/front/f/7/f7a41343-7cdb-49aa-a9d1-7460195355d8.jpg?1699561966
Master Skald,khm,Kaldheim,19,normal,common,1,,6b269e27-8e17-4bf2-b28a-a83ecc7d22c0,0.0,False,False,near_mint,en,USD,Creature — Dwarf Warrior,{4}{W},W,W,"When this creature enters, you may exile a creature card from your graveyard. If you do, return target artifact or enchantment card from your graveyard to your hand.",legal,legal,5.0,https://cards.scryfall.io/normal/front/6/b/6b269e27-8e17-4bf2-b28a-a83ecc7d22c0.jpg?1631045940
Maximize Altitude,plst,The List,GRN-43,normal,common,1,,62c5cda2-3c4c-41bd-bcf8-882f1751e9a3,0.0,False,False,near_mint,en,USD,Sorcery,{U},U,U,"Target creature gets +1/+1 and gains flying until end of turn.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",legal,legal,1.0,https://cards.scryfall.io/normal/front/6/2/62c5cda2-3c4c-41bd-bcf8-882f1751e9a3.jpg?1573507879
Maximize Velocity,grn,Guilds of Ravnica,111,normal,common,1,,ebb7a2aa-f002-4f05-b9ec-8adee4c65e46,0.0,False,False,near_mint,en,USD,Sorcery,{R},R,R,"Target creature gets +1/+1 and gains haste until end of turn.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",legal,legal,1.0,https://cards.scryfall.io/normal/front/e/b/ebb7a2aa-f002-4f05-b9ec-8adee4c65e46.jpg?1572893227
Maze Skullbomb,one,Phyrexia: All Will Be One,231,normal,common,1,,1073aee2-aea6-473d-97c6-248778d79d80,0.0,False,False,near_mint,en,USD,Artifact,{1},,G,"{1}, Sacrifice this artifact: Draw a card.
{2}{G}, Sacrifice this artifact: Target creature you control gets +3/+3 and gains trample until end of turn. Draw a card. Activate only as a sorcery.",legal,legal,1.0,https://cards.scryfall.io/normal/front/1/0/1073aee2-aea6-473d-97c6-248778d79d80.jpg?1675957236
Meat Locker // Drowned Diner,dsk,Duskmourn: House of Horror,65,normal,common,1,,b3c773f0-9e65-48de-a362-a9a943198693,0.0,False,False,near_mint,en,USD,Enchantment — Room // Enchantment — Room,{2}{U} // {3}{U}{U},U,U,,legal,legal,8.0,https://cards.scryfall.io/normal/front/b/3/b3c773f0-9e65-48de-a362-a9a943198693.jpg?1726780679
Meltdown,mh3,Modern Horizons 3,418,normal,uncommon,1,,19eedd92-8386-4ca9-ad72-afa03fa4bb28,0.0,False,False,near_mint,en,USD,Sorcery,{X}{R},R,R,Destroy each artifact with mana value X or less.,legal,not_legal,1.0,https://cards.scryfall.io/normal/front/1/9/19eedd92-8386-4ca9-ad72-afa03fa4bb28.jpg?1717014912
Meltdown,mh3,Modern Horizons 3,282,normal,uncommon,1,,173369d2-dc39-4bfe-a602-b47156570365,0.0,False,False,near_mint,en,USD,Sorcery,{X}{R},R,R,Destroy each artifact with mana value X or less.,legal,not_legal,1.0,https://cards.scryfall.io/normal/front/1/7/173369d2-dc39-4bfe-a602-b47156570365.jpg?1717013684
Meltdown,mh3,Modern Horizons 3,282,normal,uncommon,1,,173369d2-dc39-4bfe-a602-b47156570365,0.0,False,False,near_mint,en,USD,Sorcery,{X}{R},R,R,Destroy each artifact with mana value X or less.,legal,not_legal,1.0,https://cards.scryfall.io/normal/front/1/7/173369d2-dc39-4bfe-a602-b47156570365.jpg?1717013684
Memory Lapse,hml,Homelands,32b,normal,common,1,,6c8b5df3-6153-470e-be9c-f38d3cf66081,0.0,False,False,near_mint,en,USD,Instant,{1}{U},U,U,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard.",legal,legal,2.0,https://cards.scryfall.io/normal/front/6/c/6c8b5df3-6153-470e-be9c-f38d3cf66081.jpg?1562587296
"Meneldor, Swift Savior",ltr,The Lord of the Rings: Tales of Middle-earth,513,normal,uncommon,1,,6d250266-aa57-453a-994f-0f20760d167f,0.0,False,False,near_mint,en,USD,Legendary Creature — Bird Soldier,{3}{U},U,U,"Flying
Whenever Meneldor deals combat damage to a player, exile up to one target creature you own, then return it to the battlefield under your control.",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/6/d/6d250266-aa57-453a-994f-0f20760d167f.jpg?1695448410
Mentor's Guidance,stx,Strixhaven: School of Mages,46,normal,uncommon,1,,0dbb1230-a465-4499-bb9c-35a06712a08b,0.0,False,False,near_mint,en,USD,Sorcery,{2}{U},U,U,"When you cast this spell, copy it if you control a planeswalker, Cleric, Druid, Shaman, Warlock, or Wizard.
Scry 1, then draw a card.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/0/d/0dbb1230-a465-4499-bb9c-35a06712a08b.jpg?1624590229
Mephitic Draught,lci,The Lost Caverns of Ixalan,112,normal,common,2,,adcae196-dbcc-44d5-b700-c57b0b646483,0.0,False,False,near_mint,en,USD,Artifact,{1}{B},B,B,"When this artifact enters or is put into a graveyard from the battlefield, you draw a card and you lose 1 life.",legal,legal,2.0,https://cards.scryfall.io/normal/front/a/d/adcae196-dbcc-44d5-b700-c57b0b646483.jpg?1699044154
Metastatic Evangel,mh3,Modern Horizons 3,393,normal,uncommon,1,,9ae7ef64-9223-4c5d-bb2f-8a9f033729ec,0.0,False,False,near_mint,en,USD,Creature — Phyrexian Human Cleric,{1}{W},W,W,"Whenever another nontoken creature you control enters, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/9/a/9ae7ef64-9223-4c5d-bb2f-8a9f033729ec.jpg?1717014681
Meteoric Mace,mh3,Modern Horizons 3,283,normal,uncommon,4,,3fb34a09-d911-49ac-ac39-fad7ee1b41ef,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{4}{R}{R},R,R,"Equipped creature gets +4/+0 and has trample.
Equip {4}
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",legal,not_legal,6.0,https://cards.scryfall.io/normal/front/3/f/3fb34a09-d911-49ac-ac39-fad7ee1b41ef.jpg?1717013691
Meteoric Mace,mh3,Modern Horizons 3,283,normal,uncommon,1,,3fb34a09-d911-49ac-ac39-fad7ee1b41ef,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{4}{R}{R},R,R,"Equipped creature gets +4/+0 and has trample.
Equip {4}
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",legal,not_legal,6.0,https://cards.scryfall.io/normal/front/3/f/3fb34a09-d911-49ac-ac39-fad7ee1b41ef.jpg?1717013691
Midnight Mayhem,dsk,Duskmourn: House of Horror,222,normal,uncommon,1,,4fc0b94f-08b3-4fb6-9b09-2f3a215203ca,0.0,False,False,near_mint,en,USD,Sorcery,{2}{R}{W},"R, W","R, W","Create three 1/1 red Gremlin creature tokens. Gremlins you control gain menace, lifelink, and haste until end of turn. (A creature with menace can't be blocked except by two or more creatures.)",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/4/f/4fc0b94f-08b3-4fb6-9b09-2f3a215203ca.jpg?1726286697
Mind Drill Assailant,blb,Bloomburrow,225,normal,common,3,,507ba708-ca9b-453e-b4c2-23b6650eb5a8,0.0,False,False,near_mint,en,USD,Creature — Rat Warlock,{2}{U/B}{U/B},"B, U","B, U","Threshold — As long as seven or more cards are in your graveyard, this creature gets +3/+0.
{2}{U/B}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",legal,legal,4.0,https://cards.scryfall.io/normal/front/5/0/507ba708-ca9b-453e-b4c2-23b6650eb5a8.jpg?1721427150
Mindless Conscription,mh3,Modern Horizons 3,101,normal,uncommon,2,,1af5b195-101a-4265-98a7-522a968cf218,0.0,False,False,near_mint,en,USD,Enchantment,{2}{B},B,B,"When this enchantment enters and whenever you draw your third card each turn, amass Zombies 3. (Put three +1/+1 counters on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/1/a/1af5b195-101a-4265-98a7-522a968cf218.jpg?1717012023
Mine Collapse,mh2,Modern Horizons 2,135,normal,common,1,,56e2e8b5-660d-4469-a4fe-2367dfadb709,0.0,False,False,near_mint,en,USD,Instant,{3}{R},R,R,"If it's your turn, you may sacrifice a Mountain rather than pay this spell's mana cost.
Mine Collapse deals 5 damage to target creature or planeswalker.",legal,legal,4.0,https://cards.scryfall.io/normal/front/5/6/56e2e8b5-660d-4469-a4fe-2367dfadb709.jpg?1626096849
Mine Raider,otj,Outlaws of Thunder Junction,135,normal,common,1,,19cfacff-e884-4954-aa6b-ed56ca942bf2,0.0,False,False,near_mint,en,USD,Creature — Human Rogue,{2}{R},R,R,"Trample
When this creature enters, if you control another outlaw, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",legal,legal,3.0,https://cards.scryfall.io/normal/front/1/9/19cfacff-e884-4954-aa6b-ed56ca942bf2.jpg?1712355800
Miner's Guidewing,lci,The Lost Caverns of Ixalan,24,normal,common,1,,9048cd9d-df3f-4705-a5f4-e5b09760c631,0.0,False,False,near_mint,en,USD,Creature — Bird,{W},W,W,"Flying, vigilance
When this creature dies, target creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",legal,legal,1.0,https://cards.scryfall.io/normal/front/9/0/9048cd9d-df3f-4705-a5f4-e5b09760c631.jpg?1699043273
Mineshaft Spider,lci,The Lost Caverns of Ixalan,202,normal,common,3,,b75a3639-a917-4700-a093-14a4cda78d9f,0.0,False,False,near_mint,en,USD,Creature — Spider,{3}{G},G,G,"Reach
When this creature enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",legal,legal,4.0,https://cards.scryfall.io/normal/front/b/7/b75a3639-a917-4700-a093-14a4cda78d9f.jpg?1699044458
Minimus Containment,clb,Commander Legends: Battle for Baldur's Gate,34,normal,common,1,,874b3590-932a-46b7-a7aa-e3e864ec22d1,0.0,False,False,near_mint,en,USD,Enchantment — Aura,{2}{W},W,W,"Enchant nonland permanent
Enchanted permanent is a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color,"" and it loses all other abilities. (If it was a creature, it's no longer a creature.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/8/7/874b3590-932a-46b7-a7aa-e3e864ec22d1.jpg?1674135187
Minotaur de Force,unf,Unfinity,114,normal,common,1,,e8994e99-2a63-4b2f-906f-373065aa3319,0.0,False,False,near_mint,en,USD,Creature — Minotaur Performer,{1}{R},R,R,"Haste
When Minotaur de Force enters, you get {TK}, then you may put a sticker on a nonland permanent you own.",legal,banned,2.0,https://cards.scryfall.io/normal/front/e/8/e8994e99-2a63-4b2f-906f-373065aa3319.jpg?1673914355
Mirkwood Spider,ltr,The Lord of the Rings: Tales of Middle-earth,629,normal,common,1,,94333bbf-3945-4f4c-858e-f1ca3f254079,0.0,False,False,near_mint,en,USD,Creature — Spider,{G},G,G,"Deathtouch
Whenever this creature attacks, target legendary creature you control gains deathtouch until end of turn.",legal,legal,1.0,https://cards.scryfall.io/normal/front/9/4/94333bbf-3945-4f4c-858e-f1ca3f254079.jpg?1695448537
Mirror of Galadriel,ltr,The Lord of the Rings: Tales of Middle-earth,695,normal,uncommon,1,,88d958a1-2dab-4a49-b79d-2c9bc4c4a76d,0.0,False,False,near_mint,en,USD,Legendary Artifact,{2},,,"{5}, {T}: Scry 1, then draw a card. This ability costs {1} less to activate for each legendary creature you control.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/8/8/88d958a1-2dab-4a49-b79d-2c9bc4c4a76d.jpg?1697487746
Mistakes Were Made,unf,Unfinity,147,normal,common,1,,4a4764da-c508-4a7e-aabc-771f22a32c23,0.0,False,False,near_mint,en,USD,Instant,{1}{G},G,G,Destroy target artifact or enchantment. Create a 1/1 green Squirrel creature token for each fire extinguisher you can see from your seat.,not_legal,not_legal,2.0,https://cards.scryfall.io/normal/front/4/a/4a4764da-c508-4a7e-aabc-771f22a32c23.jpg?1673914627
Mistakes Were Made,unf,Unfinity,433,normal,common,1,,5ca0f438-d0f9-40ae-959c-90971c878b0d,0.0,False,False,near_mint,en,USD,Instant,{1}{G},G,G,Destroy target artifact or enchantment. Create a 1/1 green Squirrel creature token for each fire extinguisher you can see from your seat.,not_legal,not_legal,2.0,https://cards.scryfall.io/normal/front/5/c/5ca0f438-d0f9-40ae-959c-90971c878b0d.jpg?1673918181
Mistwalker,khm,Kaldheim,68,normal,common,1,,92f64b49-327c-473b-a492-f020a322aed7,0.0,False,False,near_mint,en,USD,Creature — Shapeshifter,{2}{U},U,U,"Changeling (This card is every creature type.)
Flying
{1}{U}: This creature gets +1/-1 until end of turn.",legal,legal,3.0,https://cards.scryfall.io/normal/front/9/2/92f64b49-327c-473b-a492-f020a322aed7.jpg?1631047373
Mogg Mob,mh3,Modern Horizons 3,127,normal,uncommon,1,,f1457aa8-9f70-4586-b595-6a722879f6ae,0.0,False,False,near_mint,en,USD,Creature — Goblin,{R}{R}{R},R,R,"Sacrifice this creature: It deals 3 damage divided as you choose among one, two, or three targets.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/f/1/f1457aa8-9f70-4586-b595-6a722879f6ae.jpg?1717012226
Molten Gatekeeper,mh3,Modern Horizons 3,128,normal,common,6,,9f5ba065-2806-4e99-a330-168cfe76250f,0.0,False,False,near_mint,en,USD,Artifact Creature — Golem,{2}{R},R,R,"Whenever another creature you control enters, this creature deals 1 damage to each opponent.
Unearth {R} ({R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/9/f/9f5ba065-2806-4e99-a330-168cfe76250f.jpg?1717161477
Monastery Swiftspear,2x2,Double Masters 2022,119,normal,common,1,,e8b9d59d-bac9-4092-901e-2b861c186868,0.0,False,False,near_mint,en,USD,Creature — Human Monk,{R},R,R,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",legal,banned,1.0,https://cards.scryfall.io/normal/front/e/8/e8b9d59d-bac9-4092-901e-2b861c186868.jpg?1673147867
Monastery Swiftspear,2x2,Double Masters 2022,119,normal,common,1,,e8b9d59d-bac9-4092-901e-2b861c186868,0.0,False,False,near_mint,en,USD,Creature — Human Monk,{R},R,R,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",legal,banned,1.0,https://cards.scryfall.io/normal/front/e/8/e8b9d59d-bac9-4092-901e-2b861c186868.jpg?1673147867
